WEO Country Code	ISO	WEO Subject Code	Country	Subject Descriptor	Subject Notes	Units	Scale	Country/Series-specific Notes	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	Estimates Start After
512	AFG	PPPPC	"Afghanistan, Rep. of."	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Current international dollar	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	921.702	"1,043.08"	"1,115.33"	"1,263.30"	"1,347.86"	"1,522.10"	"1,634.77"	2005
512	AFG	PPPSH	"Afghanistan, Rep. of."	Gross domestic product based on purchasing-power-parity (PPP) share of world total	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Percent		"See notes for:  Gross domestic product, current prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0.042	0.047	0.049	0.053	0.056	0.06	0.063	2005
512	AFG	PPPEX	"Afghanistan, Rep. of."	Implied PPP conversion rate	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	National currency per current international dollar		"See notes for:  Gross domestic product, current prices (National currency)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8.702	9.068	10.316	11.182	11.453	11.925	12.497	2005
512	AFG	NID_NGDP	"Afghanistan, Rep. of."	Investment	"Data are based on individual countries' national accounts statistics. For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment"	Percent of GDP																																
512	AFG	NGSD_NGDP	"Afghanistan, Rep. of."	Gross national savings	"Data are based on individual countries' national accounts statistics. For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment"	Percent of GDP																																
512	AFG	PCPI	"Afghanistan, Rep. of."	"Inflation, average consumer prices"	"Data for inflation are averages for the year, not end-of-period data. The index is based on 2000=100."	"Index, 2000=100"		Definition: Consumer price index annual average. Data refer to fiscal years Source: National Statistical Office Latest actual data: 2006 Primary domestic currency:  Afghanis Data last updated: 09/2007	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	100	124.072	140.506	157.823	165.882	179.695	193.399	2006
512	AFG	PCPIPCH	"Afghanistan, Rep. of."	"Inflation, average consumer prices"	"Data for inflation are averages for the year, not end-of-period data."	Annual percent change		"See notes for:  Average annual inflation, consumer prices (Index, 2000=100)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	24.1	13.2	12.3	5.1	8.3	7.6	2006
512	AFG	PCPIE	"Afghanistan, Rep. of."	"Inflation, end of period consumer prices"	"Data for inflation are end of the period, not annual average data. The index is based on 2000=100."	"Index, 2000=100"		"Definition: Consumer price index, end of period Source: National Statistical Office Frequency of source data: Monthly Latest actual data: 2006 Primary domestic currency:  Afghanis Data last updated: 09/2007"	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	117.563	129.627	148.993	163.027	170.834	185.354	198.329	2006
512	AFG	PCPIEPCH	"Afghanistan, Rep. of."	"Inflation, end of period consumer prices"	"Data for inflation are end of the period, not annual average data."	Annual percent change		"See notes for:  End of year inflation, consumer prices (Index, 2000=100)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10.3	14.9	9.4	4.8	8.5	7	2006
512	AFG	FLIBOR6	"Afghanistan, Rep. of."	Six-month London interbank offered rate (LIBOR)		Percent																																
512	AFG	LUR	"Afghanistan, Rep. of."	Unemployment rate		Percent of total labor force																																
512	AFG	LE	"Afghanistan, Rep. of."	Employment		Persons	Millions																															
512	AFG	LP	"Afghanistan, Rep. of."	Population		Persons	Millions	Definition: Population Source: National Statistical Office Latest actual data: 2005 Primary domestic currency:  Afghanis Data last updated: 09/2007	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22.8	23.8	24.728	25.693	26.695	27.407	28.139	2005
512	AFG	GGB	"Afghanistan, Rep. of."	General government balance	Data are on a national income accounts basis. Please refer to Box A1 in the World Economic Outlook for a summary of the policy assumptions underlying the projections.	National currency	Billions																															
512	AFG	GGB_NGDP	"Afghanistan, Rep. of."	General government balance	Data are on a national income accounts basis. Please refer to Box A1 in the World Economic Outlook for a summary of the policy assumptions underlying the projections.	Percent of GDP																																
512	AFG	GGSB	"Afghanistan, Rep. of."	General government structural balance	"Data are on a national income accounts basis. The structural budget position is defined as the actual budget deficit (or surplus) less the effects of cyclical deviations of output from potential output. Because of the margin of uncertainty that attaches to estimates of cyclical gaps and to tax and expenditure elasticities with respect to national income, indicators of structural budget positions should be interpreted as broad orders of magnitude. Moreover, it is important to note that changes in structural budget balances are not necessarily attributable to policy changes but may reflect the built-in momentum of existing expenditure programs. In the period beyond that for which specific consolidation programs exist, it is assumed that the structural deficit remains unchanged."	National currency	Billions																															
512	AFG	GGSB_NPGDP	"Afghanistan, Rep. of."	General government structural balance	"Data are on a national income accounts basis. The structural budget position is defined as the actual budget deficit (or surplus) less the effects of cyclical deviations of output from potential output. Because of the margin of uncertainty that attaches to estimates of cyclical gaps and to tax and expenditure elasticities with respect to national income, indicators of structural budget positions should be interpreted as broad orders of magnitude. Moreover, it is important to note that changes in structural budget balances are not necessarily attributable to policy changes but may reflect the built-in momentum of existing expenditure programs. In the period beyond that for which specific consolidation programs exist, it is assumed that the structural deficit remains unchanged."	Percent of potential GDP																																
512	AFG	GGND	"Afghanistan, Rep. of."	General government net debt	"Net debt comprises the stock (at year-end) of all government gross liabilities (both to residents and nonresidents) minus all government assets (domestic as well as foreign). To avoid double counting, the data are based on a consolidated account (eliminating liabilities and assets between components of the government, such as budgetary units and social security funds). General government should reflect a consolidated account of central government plus state, provincial, or local governments. Debt data are not always comparable across countries."	National currency	Billions																															
512	AFG	GGND_NGDP	"Afghanistan, Rep. of."	General government net debt	"Net debt comprises the stock (at year-end) of all government gross liabilities (both to residents and nonresidents) minus all government assets (domestic as well as foreign). To avoid double counting, the data are based on a consolidated account (eliminating liabilities and assets between components of the government, such as budgetary units and social security funds). General government should reflect a consolidated account of central government plus state, provincial, or local governments. Debt data are not always comparable across countries."	Percent of GDP																																
512	AFG	GGD	"Afghanistan, Rep. of."	General government gross debt	"Gross debt comprises the stock (at year-end) of all government gross liabilities (both to residents and nonresidents). To avoid double counting, the data are based on a consolidated account (eliminating liabilities and assets between components of the government, such as budgetary units and social security funds). General government should reflect a consolidated account of central government plus state, provincial, or local governments. Debt data are not always comparable across countries."	National currency	Billions																															
512	AFG	GGD_NGDP	"Afghanistan, Rep. of."	General government gross debt	"Gross debt comprises the stock (at year-end) of all government gross liabilities (both to residents and nonresidents). To avoid double counting, the data are based on a consolidated account (eliminating liabilities and assets between components of the government, such as budgetary units and social security funds). General government should reflect a consolidated account of central government plus state, provincial, or local governments. Debt data are not always comparable across countries."	Percent of GDP																																
512	AFG	BCA	"Afghanistan, Rep. of."	Current account balance	"Balance of payments data are based upon the methodology of the 5th edition of the International Monetary Fund's Balance of Payments Manual (1993). Data for the world total reflects errors, omissions, and asymmetries in balance of payments statistics on current account, as well as the exclusion of data for international organizations and a limited number of countries. Calculated as the sum of the balance of individual countries."	U.S. dollars	Billions	Definition: Balance on current transactions excluding exceptional financing. Includes grants. Data refer to fiscal years Source: National Statistical Office Latest actual data: 2005 Primary domestic currency:  Afghanis Data last updated: 09/2007	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-0.15	0.137	0.22	0.038	-0.115	-0.141	-0.275	2005
512	AFG	BCA_NGDPD	"Afghanistan, Rep. of."	Current account balance	"Balance of payments data are based upon the methodology of the 5th edition of the International Monetary Fund's Balance of Payments Manual (1993). Data for the world total reflects errors, omissions, and asymmetries in balance of payments statistics on current account, as well as the exclusion of data for international organizations and a limited number of countries. Calculated as the sum of the balance of individual countries."	Percent of GDP		"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars)."	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.7	3	3.7	0.5	-1.4	-1.4	-2.4	2005
914	ALB	NGDP_R	Albania	"Gross domestic product, constant prices"	Real GDP is expressed in billions of national currency units; the base year is country-specific.	National currency	Billions	Definition: Gross domestic product at constant market prices Source: IMF Staff Latest actual data: 2004 Base Year: 1996 Use of chain weighted prices indices: Yes. From 1996. Primary domestic currency:  Albanian leks Data last updated: 08/2007	293.363	310.085	319.078	322.588	329.039	324.104	342.254	339.515	334.762	367.569	330.812	238.185	221.035	242.255	265.027	288.614	314.878	282.76	318.671	350.857	376.469	402.822	414.504	438.131	463.98	489.578	514.057	544.9	577.594	2004
914	ALB	NGDP_RPCH	Albania	"Gross domestic product, constant prices"	Annual percentages of constant price GDP are year-on-year changes;  the base year is country-specific.	Annual percent change		"See notes for:  Gross domestic product, constant prices (National currency)."	2.7	5.7	2.9	1.1	2	-1.5	5.6	-0.8	-1.4	9.8	-10	-28	-7.2	9.6	9.4	8.9	9.1	-10.2	12.7	10.1	7.3	7	2.9	5.7	5.9	5.5	5	6	6	2004
914	ALB	NGDP	Albania	"Gross domestic product, current prices"	GDP is expressed in billions of national currency units.	National currency	Billions	Definition: Gross domestic product at market prices Source: IMF Staff Latest actual data: 2004 Primary domestic currency:  Albanian leks Data last updated: 08/2007	17.411	18.012	18.55	18.74	18.501	18.896	19.487	19.334	19.059	20.933	18.84	18.382	59.65	140.452	210.545	251.843	314.878	322.186	412.326	474.291	530.906	587.717	624.717	682.67	766.107	836.573	896.313	979.903	"1,075.10"	2004
914	ALB	NGDPD	Albania	"Gross domestic product, current prices"	Values are based upon GDP in national currency and the exchange rate projections provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise.	U.S. dollars	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	1.833	2.099	2.162	2.184	2.156	2.202	2.436	2.417	2.382	2.617	2.091	1.255	0.794	1.376	2.223	2.714	3.013	2.164	2.738	3.444	3.695	4.096	4.456	5.6	7.452	8.376	9.145	10.31	11.276	2004
914	ALB	NGDP_D	Albania	"Gross domestic product, deflator"	The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation.   Please note:   Data are expressed in the base year of each country's national accounts.	Index		"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency)."	5.935	5.809	5.814	5.809	5.623	5.83	5.694	5.695	5.693	5.695	5.695	7.717	26.987	57.977	79.443	87.259	100	113.943	129.389	135.181	141.022	145.9	150.714	155.814	165.116	170.876	174.361	179.832	186.134	2004
914	ALB	NGDPRPC	Albania	"Gross domestic product per capita, constant prices"	GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons)."	"109,853.40"	"113,847.05"	"114,718.38"	"113,663.21"	"113,591.08"	"109,590.76"	"113,471.76"	"110,372.06"	"106,676.74"	"114,894.03"	"103,482.87"	"75,837.78"	"71,064.91"	"78,269.39"	"87,373.51"	"95,029.54"	"102,803.06"	"91,562.58"	"104,089.91"	"115,066.54"	"123,089.66"	"131,498.65"	"134,398.23"	"141,205.83"	"148,733.43"	"156,166.07"	"163,158.58"	"172,087.66"	"181,505.39"	2001
914	ALB	NGDPPC	Albania	"Gross domestic product per capita, current prices"	GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.	National currency	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"6,519.91"	"6,613.08"	"6,669.27"	"6,603.16"	"6,386.79"	"6,389.46"	"6,460.69"	"6,285.34"	"6,073.31"	"6,543.32"	"5,893.48"	"5,852.76"	"19,178.09"	"45,378.31"	"69,412.09"	"82,922.08"	"102,803.06"	"104,329.24"	"134,681.13"	"155,547.86"	"173,583.95"	"191,856.45"	"202,557.50"	"220,018.75"	"245,582.91"	"266,850.96"	"284,484.37"	"309,468.02"	"337,842.94"	2001
914	ALB	NGDPDPC	Albania	"Gross domestic product per capita, current prices"	GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.	U.S. dollars	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	686.306	770.755	777.305	769.599	744.381	744.692	807.586	785.667	759.164	817.914	654.233	399.674	255.367	444.45	732.968	893.557	983.761	700.666	894.297	"1,129.61"	"1,208.02"	"1,336.98"	"1,444.78"	"1,804.91"	"2,388.94"	"2,671.92"	"2,902.65"	"3,256.11"	"3,543.56"	2001
914	ALB	NGAP_NPGDP	Albania	Output gap in percent of potential GDP	"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, ""IMF Estimates of Potential Output: Theory and Practice,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46."	Percent of potential GDP																																
914	ALB	PPPGDP	Albania	Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Current international dollar	Billions	"See notes for:  Gross domestic product, current prices (National currency)."	4.774	5.521	6.027	6.334	6.704	6.804	7.343	7.484	7.631	8.695	8.128	6.057	5.75	6.448	7.204	8.005	8.899	8.125	9.258	10.34	11.337	12.422	13.005	14.039	15.294	16.66	18.045	19.621	21.16	2004
914	ALB	PPPPC	Albania	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Current international dollar	Units	"See notes for:  Gross domestic product, current prices (National currency) Population (Persons)."	"1,787.81"	"2,026.85"	"2,166.96"	"2,231.95"	"2,314.25"	"2,300.68"	"2,434.67"	"2,432.85"	"2,431.63"	"2,717.99"	"2,542.56"	"1,928.50"	"1,848.70"	"2,083.13"	"2,374.87"	"2,635.81"	"2,905.48"	"2,630.86"	"3,023.97"	"3,391.23"	"3,706.73"	"4,054.96"	"4,216.73"	"4,524.57"	"4,902.78"	"5,314.13"	"5,727.36"	"6,196.73"	"6,649.27"	2001
914	ALB	PPPSH	Albania	Gross domestic product based on purchasing-power-parity (PPP) share of world total	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	Percent		"See notes for:  Gross domestic product, current prices (National currency)."	0.037	0.038	0.039	0.038	0.037	0.036	0.036	0.035	0.033	0.035	0.03	0.021	0.02	0.021	0.022	0.023	0.024	0.021	0.023	0.025	0.025	0.026	0.026	0.027	0.027	0.027	0.027	0.027	0.028	2004
914	ALB	PPPEX	Albania	Implied PPP conversion rate	"These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   Please note:   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box A2 in the April 2004 World Economic Outlook, Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A.1 in the May 2000 World Economic Outlook for a summary of the revised PPP-based weights, and Annex IV of the May 1993 World Economic Outlook. See also Anne Marie Gulde and Marianne Schulze-Ghattas, ""Purchasing Power Parity Based Weights for the World Economic Outlook,"" in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23."	National currency per current international dollar		"See notes for:  Gross domestic product, current prices (National currency)."	3.647	3.263	3.078	2.958	2.76	2.777	2.654	2.584	2.498	2.407	2.318	3.035	10.374	21.784	29.228	31.46	35.383	39.656	44.538	45.868	46.829	47.314	48.037	48.628	50.091	50.215	49.671	49.941	50.809	2004
914	ALB	NID_NGDP	Albania	Investment	"Data are based on individual countries' national accounts statistics. For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment"	Percent of GDP																																
914	ALB	NGSD_NGDP	Albania	Gross national savings	"Data are based on individual countries' national accounts statistics. For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment"	Percent of GDP																																
